epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,183.706,1.15769,0.64861,1.19764,0.82556,0.73127,0.7493,0.38902,1.58577,1.52023,1.32161,0.000294061,0.000294061,0.000294061
43,187.722,1.19228,0.6854,1.18359,0.84138,0.76475,0.74251,0.42044,1.58618,1.44869,1.33059,0.000279063,0.000279063,0.000279063
44,191.719,1.14358,0.66608,1.17032,0.87969,0.74303,0.77165,0.43161,1.61672,1.39801,1.33658,0.000264064,0.000264064,0.000264064
45,195.818,1.12062,0.62649,1.15137,0.90409,0.77052,0.79377,0.42836,1.60603,1.33645,1.331,0.000249066,0.000249066,0.000249066
46,199.625,1.15304,0.65778,1.17133,0.86841,0.73189,0.77443,0.4124,1.5867,1.31159,1.32029,0.000234068,0.000234068,0.000234068
47,203.166,1.13188,0.6821,1.12492,0.80364,0.79149,0.77973,0.4084,1.57603,1.41391,1.3034,0.000219069,0.000219069,0.000219069
48,207.629,1.10132,0.64951,1.15284,0.83806,0.65713,0.72755,0.40012,1.56333,1.41181,1.29723,0.00020407,0.00020407,0.00020407
49,211.711,1.14496,0.66865,1.19448,0.8749,0.65943,0.7365,0.41184,1.56874,1.44072,1.29782,0.000189072,0.000189072,0.000189072
50,215.026,1.05519,0.63431,1.15908,0.85159,0.68271,0.70495,0.38842,1.54595,1.52035,1.3049,0.000174074,0.000174074,0.000174074
51,234.138,1.10408,0.68901,1.18922,0.82963,0.68776,0.67768,0.36994,1.53738,1.56286,1.33983,0.000159075,0.000159075,0.000159075
52,242.963,1.01438,0.60533,1.14749,0.7646,0.6904,0.68662,0.38282,1.54005,1.59781,1.36307,0.000144077,0.000144077,0.000144077
53,249.943,1.00941,0.59536,1.13188,0.78652,0.68082,0.68516,0.38606,1.54971,1.58965,1.36319,0.000129078,0.000129078,0.000129078
54,254.627,1.02187,0.60777,1.13826,0.83025,0.67496,0.68027,0.37865,1.59302,1.60992,1.38496,0.00011408,0.00011408,0.00011408
55,260.511,1.07138,0.59154,1.16922,0.84529,0.6904,0.68136,0.36123,1.60846,1.56866,1.39374,9.9081e-05,9.9081e-05,9.9081e-05
56,263.92,1.02513,0.54845,1.11706,0.9045,0.6601,0.68447,0.35705,1.60828,1.50097,1.39324,8.40825e-05,8.40825e-05,8.40825e-05
57,267.248,0.97815,0.55144,1.10079,0.84912,0.65923,0.68543,0.35769,1.6128,1.50053,1.39379,6.9084e-05,6.9084e-05,6.9084e-05
58,272.098,0.97288,0.54458,1.10926,0.81148,0.67921,0.67814,0.35193,1.62817,1.52193,1.38948,5.40855e-05,5.40855e-05,5.40855e-05
59,275.74,0.90734,0.52184,1.07764,0.82318,0.67224,0.67783,0.35828,1.61326,1.46333,1.38425,3.9087e-05,3.9087e-05,3.9087e-05
60,279.62,0.96206,0.53193,1.10882,0.82337,0.66881,0.68451,0.36075,1.61087,1.42644,1.38516,2.40885e-05,2.40885e-05,2.40885e-05
